experimenter,RA,location,study name,IRB_protocol,subid,study version,gender,hisp,ethnicity,english,numlang,parented,othered,premie,xcalib,ycalib,consent,age,agegroup,exclude,notes,,
AEN,AEN,CDM,negtracker,19960,112912_03,5_3,female,no,asian,75,2,4,4,no,0.3,0.785,1,2.255989049,2,0,,,
AEN,AEN,CDM,negtracker,19960,112912_04,5_3,female,no,asian,100,2,6,4,no,1.8275,0.7625,1,1.976728268,1,0,,,
AEN,AEN,CDM,negtracker,19960,112912_05,5_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.38,5.0375,1,NaN,NaN,2,no data (early fussing),,
AEN,AEN,CDM,negtracker,19960,112912_06,5_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9475,1.17,1,NaN,NaN,2,child ended after first few trials,,
AEN,AEN,CDM,negtracker,19960,112912_07,5_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,2,no data (early fussing),,
AEN,AEN,CDM,negtracker,19960,112912_08,5_3,male,no,white,100,1,4,3,no,0.5425,1.2125,1,1.377138946,1,0,,,
AEN,AEN,CDM,negtracker,19960,112912_09,5_3,male,no,white,90,2,6,6,no,2.705,4.38,1,1.941136208,1,4,mom's eyes,,
AEN,AEN,CDM,negtracker,19960,120112_01,5_4,male,no,white,75,2,6,6,no,1.245,0.8225,1,2.335386721,2,0,,,
AEN,AEN,CDM,negtracker,19960,120112_02,5_4,female,no,white,100,1,6,6,no,0.2525,1.0825,1,2.250513347,2,0,,,
AEN,AEN,CDM,negtracker,19960,120112_03,5_4,male,no,white,90,2,6,6,no,0.415,1.065,1,2.672142368,2,0,,,
AEN,AEN,CDM,negtracker,19960,120112_04,5_4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3325,0.18,1,NaN,NaN,2,no data (early fussing),,
AEN,AEN,CDM,negtracker,19960,120112_05,5_4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,3,could not calibrate,,
AEN,AEN,CDM,negtracker,19960,120112_06,5_4,male,no,white,100,1,1,2,no,0.3675,1.135,1,1.073237509,1,0,,,
AEN,AEN,CDM,negtracker,19960,120112_07,5_4,female,no,asian,100,1,4,3,yes,18.265,11.84,1,2.926762491,2,3,"calibrated, but poor validation and comp was not tracking eyes.  Seemed frozen.",,
AEN,AEN,CDM,negtracker,19960,120112_08,5_4,male,no,asian,50,2,6,4,no,0.7925,5.2375,1,2.360027379,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,120112_10,5_4,female,no,white,100,1,4,4,no,0.9775,2.395,1,2.409308693,2,0,"child said ""that not elmo"" during calibration",,
AEN,AEN,CDM,negtracker,19960,120612_01,5_3,male,no,white,100,1,5,6,no,9.59,10.155,0,1.650924025,1,0,"mom's eyes during calibration, so tracking was poor.",,
AEN,AEN,CDM,negtracker,19960,120612_02,5_3,male,no,white,75,2,3,4,no,0.475,2.1875,1,2.357289528,2,0,,,
AEN,AEN,CDM,negtracker,19960,120612_03,5_3,male,no,asian,100,2,6,4,no,0.425,0.4425,1,2.108145106,2,0,,,
AEN,AEN,CDM,negtracker,19960,120612_04,5_3,female,no,white,100,1,6,6,no,3.615,3.2725,1,2.417522245,2,0,,,
AEN,AEN,CDM,negtracker,19960,120612_05,5_3,female,no,asian,50,2,6,NaN,no,1.0025,4.06,1,2.12183436,2,1,no english,,
AEN,AEN,CDM,negtracker,19960,120612_06,5_3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.775,3.3675,1,0.833333333,0,2,no data (early fussing),,
