bank,item,a,d
eng_comprehension_full,woof woof,1.6599495804486482,0.7827064223104265
eng_comprehension_full,work (place),1.9766484418461514,-2.7118105086020194
eng_comprehension_full,write,2.0308189544277737,-3.3485504962969226
eng_comprehension_full,yes,2.0587102089300195,0.8944775209701212
eng_comprehension_full,you,1.8745667209832386,-1.5764366391603593
eng_comprehension_full,your,1.772943300050226,-2.3268494683421026
eng_comprehension_full,yucky,1.3836583551758226,-0.3313342573868387
eng_comprehension_full,yum yum,1.3444261218752414,0.5494890857630002
eng_comprehension_full,zipper,2.2083196667240115,-2.789982070112996
eng_comprehension_full,zoo,1.8842573281407022,-3.8455070602438464
eng_comprehension_pruned,airplane,1.3436541534067399,-1.140925115545947
eng_comprehension_pruned,all,2.558186028890931,-3.676882766950025
eng_comprehension_pruned,all gone,0.5631026076368416,0.3593702475233091
