target_side,vanilla_trial,condition,target_id,distractor_id,full_phrase,trial_type_id,dataset_id,lab_trial_id,aoi_region_set_id,point_of_disambiguation,full_phrase_language,trial_type_aux_data
left,TRUE,Colors_familiar,5,0,Car Wheresthe_ Car,139,0,Colors_familiar-Car-Shoe,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Canyoufindthe_ Neem,140,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,6,3,Kitty Canyoufindthe_ Kitty,141,0,Colors_familiar-Kitty-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,142,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,0,6,Shoe Wheresthe_ Shoe,143,0,Colors_familiar-Shoe-Kitty,NA,0,eng,NA
left,TRUE,Colors_familiar,5,8,Car Wheresthe_ Car,144,0,Colors_familiar-Car-Ball,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,145,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,4,6,Baby Canyoufindthe_ Baby,146,0,Colors_familiar-Baby-Kitty,NA,0,eng,NA
right,TRUE,Colors_familiar,6,4,Kitty Canyoufindthe_ Kitty,147,0,Colors_familiar-Kitty-Baby,NA,0,eng,NA
right,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,148,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
right,TRUE,Colors_familiar,5,4,Car Canyoufindthe_ Car,149,0,Colors_familiar-Car-Baby,NA,0,eng,NA
right,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,150,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,FALSE,Colors_novel,9,7,Lif Wheresthe_ Lif,151,0,Colors_novel-Lif-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,4,0,Baby Canyoufindthe_ Baby,152,0,Colors_familiar-Baby-Shoe,NA,0,eng,NA
left,TRUE,Colors_familiar,6,3,Kitty Wheresthe_ Kitty,153,0,Colors_familiar-Kitty-Dog,NA,0,eng,NA
left,TRUE,Colors_familiar,8,6,Ball Canyoufindthe_ Ball,154,0,Colors_familiar-Ball-Kitty,NA,0,eng,NA
left,FALSE,Colors_novel,2,1,Neem Canyoufindthe_ Neem,155,0,Colors_novel-Neem-FribbleA,NA,0,eng,NA
left,TRUE,Colors_familiar,6,3,Kitty Wheresthe_ Kitty,156,0,Colors_familiar-Kitty-Dog,NA,0,eng,NA
right,FALSE,Colors_novel,1,2,Lif Wheresthe_ Lif,157,0,Colors_novel-Lif-FribbleB,NA,0,eng,NA
right,TRUE,Colors_familiar,4,3,Baby Canyoufindthe_ Baby,158,0,Colors_familiar-Baby-Dog,NA,0,eng,NA
right,TRUE,Colors_familiar,0,6,Shoe Wheresthe_ Shoe,159,0,Colors_familiar-Shoe-Kitty,NA,0,eng,NA
left,TRUE,Colors_familiar,3,0,Dog Canyoufindthe_ Dog,160,0,Colors_familiar-Dog-Shoe,NA,0,eng,NA
right,TRUE,Colors_familiar,6,3,Kitty Canyoufindthe_ Kitty,161,0,Colors_familiar-Kitty-Dog,NA,0,eng,NA
left,FALSE,Colors_novel,7,9,Neem Wheresthe_ Neem,162,0,Colors_novel-Neem-FribbleB,NA,0,eng,NA
left,TRUE,Colors_familiar,5,0,Car Wheresthe_ Car,163,0,Colors_familiar-Car-Shoe,NA,0,eng,NA
