trial_id,trial_order,trial,trial_type_id,excluded,exclusion_reason,trial_aux_data
136,2,2,40,FALSE,included,NA
137,3,3,120,TRUE,< 50% looking on trial,NA
138,4,4,121,FALSE,included,NA
139,5,5,20,TRUE,< 50% looking on trial,NA
140,6,6,122,TRUE,no pre-onset looking,NA
141,7,7,72,TRUE,< 50% looking on trial,NA
142,8,8,123,FALSE,included,NA
143,1,1,60,FALSE,included,NA
144,2,2,1,FALSE,included,NA
145,3,3,2,FALSE,included,NA
146,4,4,124,FALSE,included,NA
147,5,5,125,FALSE,included,NA
148,6,6,36,FALSE,included,NA
149,7,7,22,FALSE,included,NA
150,1,1,126,FALSE,included,NA
151,2,2,127,FALSE,included,NA
152,3,3,128,FALSE,included,NA
153,4,4,63,FALSE,included,NA
154,5,5,129,FALSE,included,NA
155,6,6,130,TRUE,< 50% looking on trial,NA
156,7,7,131,FALSE,included,NA
157,8,8,132,FALSE,included,NA
158,1,1,119,FALSE,included,NA
159,2,2,1,FALSE,included,NA
160,3,3,133,FALSE,included,NA
161,4,4,134,FALSE,included,NA
162,5,5,135,FALSE,included,NA
163,6,6,36,FALSE,included,NA
164,7,7,136,FALSE,included,NA
165,8,8,137,FALSE,included,NA
166,1,1,138,FALSE,included,NA
167,2,2,127,FALSE,included,NA
168,3,3,139,FALSE,included,NA
169,4,4,63,FALSE,included,NA
170,5,5,140,FALSE,included,NA
